"በ1914 መገባደጃ ላይ በሦስት አህጉራት የሚገኙ ከ9,000,000 በላይ የሚሆኑ ሰዎች የክርስቶስን የሺህ ዓመት ግዛት የሚያብራራውን “የፍጥረት ፎቶ ድራማ” የተባለውን በተንቀሳቃሽ ምስሎችና በስላይዶች የታገዘውን ፊልም ተመልክተው ነበር። ","Dhuma bara 1914ttimmoo, namoonni 9,000,000 ol ta’aniifi ardii sadiirra jiraatan, Bulchiinsa Kiristos Waggaa Kumaa ilaalchisee, sagantaa fiilmii “Fotoo-Diraamaa oov Kiri’eeshin” jedhamu, fakkiiwwan sosocho’aaniifi Islaayidii suuraa argisiisuun ilaalaniiru. "
በአካባቢው ከሚገኙት ጉባኤዎች የመጡ በፊልም ቤቱ የሚያስተናግዱ እህቶች “በፎቶ ድራማ” ላይ የሚታዩ ምስሎች የታተሙባቸው በሚሊዮን የሚቆጠሩ በራሪ ወረቀቶችን በነፃ አሰራጭተዋል ,"Keessumsiistonni gumiiwwan naannichaarraa dhufan, waraqaa ibsa gabaabaafi fakkiiwwan fiilmicharratti argisiifaman qabate namoota dhufaniif ni kennu turan "
በ2005 በተደረገ አንድ ትልቅ ስብሰባ ላይ ትዬሪ እና ባለቤቱ ናድያ “አምላክን የሚያስከብር ግብ ላይ ለመድረስ ተጣጣሩ” የሚለውን ድራማ ተመለከቱ። ,"Bara 2005tti walga’ii guddaa tokko irratti Teerii fi haati manaa isaa Naadiyaan diraamaa, “Galmawwan Waaqayyoof Ulfina Fidan Hordofaa” jedhu ilaalanii turan. "
እንደ “ፎቶ ድራማ” ሁሉ አዲሱ ፊልምም የሚወስደው ጊዜ ስምንት ሰዓት ሲሆን ታሪኩ ተከፋፍሎ ለተከታታይ ቀናት ምሽት ላይ ይቀርብ ነበር። ,"Diraamaa haaraan kun akkuma “Footoo Diraamaa” sanaan duraa saʼaatii saddeet kan dheeratu yommuu taʼu, namootatti al takkaatti kutaa fiilmii kanaa isa tokkotu agarsiifama ture. "
በ1930ዎቹ ውስጥም “የፍጥረት ድራማ” ሲታይ በጣም ብዙ ሰዎች የተገኙ ሲሆን የይሖዋ ምሥክሮች የከተማው ሕዝብ የመነጋገሪያ ርዕስ ሆነው ነበር። ,"Baroota 1930mmanitti namoonni galma guutanii fiilmii “Kiriʼeeshin Diraamaa” ilaalaa waan turaniif, magaalichi waaʼee Dhugaa Baatota Yihowaa odeessaa ture. "
“የፍጥረት ፎቶ ድራማ” ለመጀመሪያ ጊዜ በኒው ዮርክ ጥር 11 ላይ የታየ ሲሆን በቀጣዩ ወር ደግሞ በሌሎች አምስት ከተሞች ታየ። ,"Fiilmiin “Footo Diraamaa oov Kiriʼeeshin” jedhamu Amajjii 11 yeroo jalqabaatiif Niiwu Yoorkitti, jiʼa ittaanuttimmoo magaalaawwan kaan shanitti argisiifame. "
ለቤተሰብ ራሶች የቀረበ ሐሳብ፦ ይህ ዘመናዊ ድራማ በ2011 በተደረገው የክልል ስብሰባ ላይ የቀረበ ነው። ,YAADACHIISA MATAAWWAN MAATIITIIF KENNAME: Diraamaan ammayyaa kun walgaʼii naannoo bara 2011tti godhame irratti kan dhihaate ture. 
ኮሚቴው ለመጽሐፍ ቅዱሳዊ ጥያቄዎች መልስ የሚሰጥ ከመሆኑም ሌላ እንደ ድራማ ጽሑፍና የንግግር አስተዋጽኦ የመሳሰሉ ነገሮች ያጸድቃል። ,"Koreen kun, gaaffiiwwan Macaafa Qulqulluutiif deebii kan kennu ta’uusaarrayyuu, barreeffama diraamaafi waraqaa haasawaan irraa dhihaatu ni raggaasisa. "
ሉዓላዊነትን በተመለከተ ለዘመናት ሲካሄድ የቆየው ድራማ መጋረጃ ይዘጋል። ,Golgaan diraamicha olaantummaa dabalatuufi waggoottan dhibbaan lakkaaʼamaniif raawwatamaa turee ni cufama. 
“የፍጥረት ድራማ” የተባለው ፊልም ለብዙዎች እየታየ በነበረበት ወቅት የናዚ ፓርቲ ማዕበል አውሮፓን እያጥለቀለቀው መጣ። ,"Namoonni hedduun “Kiriʼeeshin Diraamaa” ilaalaa yeroo turan kanatti, paartiin Naazii Awurooppaatti deggersa argachaa waan deemeef rakkinni uumamuu jalqabe. "
በስብሰባው ላይ ወንድም ራስል የሰጠውን ንግግር ያዳመጠች ከመሆኑም በላይ “የፍጥረት ፎቶ ድራማ” የተባለውን ስላይድ ፊልም ተመለከተች፤ እናቴ የተጠመቀችውም በዚህ ስብሰባ ላይ ነበር። ,"Haasawaawwan Obboleessa keenya Raasil kan dhageesse si’a ta’u, fiilmii “Fotoo Diraamaa oov Kiri’eeshin” jedhamu ilaalteetti, achiis cuuphamteetti. "
ኤሪክ ፍሮስትና “የፍጥረት ድራማ” የተባለውን ፊልም ለማጀብ የጻፈው የሙዚቃ ኖታ ,Eeriik Firoostiifi nootaalee muuziqaa inni ittiin “Kiriʼeeshin Diraamaa” qindeesse 
በጽንፈ ዓለም መድረክ ላይ እየተካሄደ ያለው ድራማ እርስ በርስ ተያያዥነት ባላቸው በየትኞቹ ሁለት ጉዳዮች ዙሪያ ያጠነጠነ ነው? ,Diraamaan uumama cufa keessatti raawwatamaa jiru dhimmawwan wal qabatan lamaan kam kan dabalatudha? 
መጀመሪያ ላይ ከተሰጡት የሥራ ምድቦች አንዱ “ፎቶ ድራማ” የተባለውን ፊልም ፈረንሳይ ውስጥ ለሰዎች በማሳየቱ ሥራ መካፈል ነው። ,Hojiinsaa inni jalqabaa fiilmiin “Footoo Diraamaa” biyya Faransaayitti yommuu dhihaatu gargaarsa gochuu ture. 
9 “ፎቶ ድራማ” የተባለውን ፊልም ለማዘጋጀት ይህን ያህል ጊዜና ገንዘብ መሥዋዕት የተደረገው ለምንድን ነው? ,9 Fiilmii “Footoo Diraamaa” jedhamu qopheessuuf yeroofi qarshii hammanaa dhangalaasuun kan barbaachise maaliifi? 
በዩናይትድ ስቴትስ በየዕለቱ በ80 ከተሞች “ፎቶ ድራማ” ይታይ ነበር። ,Magaalota 80 Yuunaayitid Isteetisitti argaman keessatti fiilmiin kun guyyaa guyyaadhaan ni ilaalama ture. 
ስለ ጢሞቴዎስ የሚገልጸው ይህ የመጽሐፍ ቅዱስ ድራማ ልባቸውን ስለነካው ተጨማሪ የምሥራቹ ሰባኪዎች ወደሚያስፈልጉበት ቦታ ሄደው ለማገልገል ይበልጥ ተነሳሱ። ,"Diraamaan Kitaaba Qulqulluu waaʼee Ximotewos ibsu kun garaa isaanii kan tuqe taʼuu isaa irra iyyuu, iddoo tajaajiltoonni caalaatti barbaachisan deemanii hojjechuuf hawwii qaban isaaniif cimse. "
በመቶዎች በሚቆጠሩ ጋዜጦች ላይ ስብከቶችን ያወጡ የነበረ ከመሆኑም በላይ ባለቀለም ስላይዶችንና ተንቀሳቃሽ ምስሎችን የያዘውን “የፍጥረት ፎቶ ድራማ” የተባለ ፊልም ያሳዩ ነበር። ,"Haasaawwan Macaafa Qulqulluurratti hundaaʼan gaazexoota kumaan lakkaaʼamanirratti baasaniiru, fiilmii silaayidii “Footo Diraamaa oov Kiriʼeeshin” jedhamu halluu qabuufi sosochoʼu argisiisaa turaniiru. "
“ፎቶ ድራማ” የተባለው ፊልም በአንድ ወጣት ላይ ምን ተጽዕኖ አሳድሯል? ይህ ወጣት ምን ምሳሌ ትቶልናል? ,Fiilmiin “Footoo Diraamaa” jedhamu dargaggeessa tokkorratti dhiibbaa akkamii geessise? 
ታማኙ ባሪያ፣ ልባም መሆኑ ደግሞ ግልጽ የሆነ ቅዱስ ጽሑፋዊ መሠረት እስከሌለ ድረስ አንድ ታሪክ ትንቢታዊ ድራማ እንደሆነ በመግለጽ ረገድ ይበልጥ ጠንቃቃ እንዲሆን አድርጎታል። ,Ogummaadhaan hojjechuun isaanii ragaan Caaffata Qulqullaaʼoo qabatamaa taʼe utuu hin jiraatin seenaan Macaafa Qulqulluu tokko wanta kan biraatiif gaaddidduu akka taʼu dubbachuu irraa akka of eeggatan godheera. 
በእርግጥም “የፍጥረት ድራማ” የሂትለር አገዛዝ በአውሮፓ በነበሩት የይሖዋ ሕዝቦች ላይ ኃይለኛ የስደት ማዕበል ከማስነሳቱ ትንሽ ቀደም ብሎ ስለ ይሖዋ ታላቅ ምሥክርነት ሰጥቷል። ,"“Kiriʼeeshin Diraamaan,” Hiitlar saba Yihowaa Awurooppaatti argamanirratti ariʼatama geessisuusaa dura, yeroo gabaabaa keessatti waaʼee Yihowaa balʼinaan dhugaa baʼuuf gargaareera. "
በዚህ ዓመት፣ ሰዎች መጽሐፍ ቅዱስ የአምላክ ቃል ስለመሆኑ ጠንካራ እምነት እንዲኖራቸው ለመርዳት ሲባል የተዘጋጀው “የፍጥረት ፎቶ ድራማ” ለመጀመሪያ ጊዜ ለእይታ ከበቃ 100 ዓመት ይሞላዋል። ,"BARANA Fiilmiin “Footoo Diraamaa oov Kiriʼeeshin” jedhamu yeroo jalqabaatiif erga argisiifamee waggaa 100 kan guute siʼa taʼu, kan hojjetames amantii namoonni Macaafa Qulqulluurratti qaban cimsuufidha. "
ኤልዘ ቢልሃርትስ ደግሞ “ለእውነት ፍቅር እንዳዳብር መሠረት የሆነኝ ‘የፍጥረት ድራማ’ ነው” ብላለች። ,"Eelzaa Biilhaarzi, “‘Kiriʼeeshin Diraamaan’ dhugaa akkan jaalladhu na godheera” jetteetti. "
